ingredient,title,source,price
milk,Horizon Organic Whole Milk Plain Boxes,Walmart,13.98
milk,Horizon Organic Whole High Vitamin D Milk,Target,8.89
milk,Horizon Organic Organic 2% Milk 64 oz Carton (3/Carton),Sam's Club,13.22
milk,Horizon Organic Growing Years Whole Milk,Walmart,6.27
milk,Horizon Organic Whole Milk with DHA Omega-3,Target,5.59
milk,Horizon Organic Instant Dry Whole Milk,Sam's Club,23.22
milk,Horizon Organic Growing Years 2% Reduced Fat Milk with DHA Omega-3,Walmart,6.27
milk,Horizon Organic Reduced Fat Milk,Target,4.89
milk,Horizon Organic Growing Years Reduced Fat Milk,Publix Delivery,7.41
milk,Horizon Organic 2% Reduced Fat Milk,Walmart,8.97
milk,Horizon Organic 1% Low Fat Milk,Target,4.89
milk,Horizon Organic Low Fat Chocolate Milk,Sam's Club,19.98
milk,Horizon Organic 2% Milk with DHA Omega-3,Walmart,5.67
milk,Horizon Organic Grassfed Reduced Fat Milk,Walmart,6.37
milk,Horizon Organic Low Fat Strawberry Milk,Walmart,13.18
milk,Horizon Organic Low Fat Chocolate Milk,Walmart,13.98
eggs,Great Value Large White Eggs (6 Count),Walmart,28.96
eggs,Eggland's Best Grade A Large White Eggs,Publix Delivery,6.91
eggs,"Member's Mark Cage Free Grade A Large White Eggs, 2 dozen",Sam's Club,9.34
eggs,Grade A Large Eggs - 12ct - Good & Gather (Packaging May Vary),Target,5.99
eggs,Vital Farms Pasture Raised Large Grade A Eggs,Walmart,7.11
eggs,Great Value Extra Large White Eggs,Walmart,9.12
eggs,Publix Eggs Large,Publix Delivery,17.49
eggs,Vital Farms Pasture Raised Eggs,Target,10.39
eggs,Farmhouse Eggs Large Brown Cage Free Eggs,Walmart,5.78
eggs,Marketside Cage-Free Large Brown Eggs,Walmart,8.98
eggs,Hill Country Fare Grade A Jumbo Eggs,Walmart,6.82
eggs,Eggland's Best Classic Large White Eggs,Walmart,12.62
bread,Sara Lee Butter Bread,Walmart - Seller,2.54
bread,"Sara Lee Butter Bread 20 oz., 2 pk.",Sam's Club,4.68
bread,Sara Lee Honey Butter Half Loaf Bread,Walmart,1.98
bread,Sara Lee Artesano Brioche Bakery Bread,Target,3.49
bread,Sara Lee Butter Bread 20 oz,Walmart - Seller,13.94
bread,Sara Lee All Butter Pound Cake,Publix Delivery,5.41
bread,Sara Lee Artesano Bakery Bread,Target,3.49
bread,Sara Lee Artesano Hawaiian Bakery Bread,Walmart,3.48
bread,Sara Lee Classic White Bread,Sam's Club,3.96
bread,Sara Lee Honey Wheat Bread,Publix Delivery,4.59
bread,Sara Lee Delightful White Bread,Walmart,3.44
bread,Sara Lee Artesano Hawaiian Pre-Sliced Bread,Sam's Club,5.38
bread,"Sara Lee Delightful, White Bread - 16 oz",Publix Delivery,5.15
bread,Sara Lee Delightful Soft & Smooth Wheat Bread,Walmart,3.54
bread,Pepperidge Farm Butter Bread,Target,3.99
bread,"Sara Lee Honey Wheat Bread 20 oz., 2 pk.",Sam's Club,5.18
bread,Sara Lee Delightful Multi- Grain Bread,Walmart,4.48
bread,Sara Lee Half Loaf Bread 9 Grain 12 oz,Publix Delivery,3.31
bread,Sara Lee Artesano Smooth Multigrain Bread,DoorDash - Target US,3.49
bread,Sara Lee White Bread,Walmart - Seller,6.01
bread,Sara Lee Half Loaf Bread,Publix Delivery,3.31
orange juice,Simply Orange High Pulp Juice,Walmart,4.48
orange juice,Simply Light Orange Pulp Free Juice,Walmart,4.48
orange juice,Simply Orange Pulp Free Pineapple Juice,Walmart,4.48
orange juice,Tropicana No Pulp Orange Juice,Target,7.89
orange juice,Natalie's Juice Orange,Publix Delivery,8.59
orange juice,"(3 pack) Simply Orange Juice Pulp Free Bottle, 89 fl oz, Size: Regular",Walmart,20.91
orange juice,Cold Pressed Orange Juice - 32 fl oz,Target,6.99
butter,Land O'Lakes Salted Butter,Walmart,5.28
butter,Land O Lakes Half Sticks Salted Butter,Target,5.69
butter,Land O Lakes Unsalted Butter,DoorDash - Target US,5.69
butter,"Land O Lakes Land O'Lakes Butter with Canola Oil (15 oz., 2 pk.)",Sam's Club,7.74
butter,Land O Lakes Salted Extra Creamy Butter European Style,Publix Delivery,10.09
butter,Land O Lakes Salted Butter Balls,Walmart,3.97
butter,"Land O Lakes Quarter Salted Butter, 8 Ounce - 12 per case.",Walmart - Seller,77.95
butter,Land O Lakes Light Butter with Canola Oil,Walmart,4.36
butter,"Land O Lakes Salted Butter, 1 Pound -- 36 per case, Size: 1-lb.",Walmart - Seller,319.28
butter,Land O Lakes Cinnamon Sugar Butter Spread,Walmart,2.64
